gender;race/ethnicity;parental level of education;lunch;test preparation course;test prep course;math score;reading score;writing score;math;reading;writing;math grade;reading grade;writing grade
female;group B;bachelor's degree;standard;none;0;72;72;74;70-79;70-79;70-79;C;C;C
female;group C;some college;standard;completed;1;69;90;88;60-69;90-100;80-89;D;A;B
female;group B;master's degree;standard;none;0;90;95;93;90-100;90-100;90-100;A;A;A
male;group A;associate's degree;free/reduced;none;0;47;57;44;0-59;0-59;0-59;F;F;F
male;group C;some college;standard;none;0;76;78;75;70-79;70-79;70-79;C;C;C
female;group B;associate's degree;standard;none;0;71;83;78;70-79;80-89;70-79;C;B;C
female;group B;some college;standard;completed;1;88;95;92;80-89;90-100;90-100;B;A;A
male;group B;some college;free/reduced;none;0;40;43;39;0-59;0-59;0-59;F;F;F
male;group D;high school;free/reduced;completed;1;64;64;67;60-69;60-69;60-69;D;D;D
female;group B;high school;free/reduced;none;0;38;60;50;0-59;60-69;0-59;F;D;F
male;group C;associate's degree;standard;none;0;58;54;52;0-59;0-59;0-59;F;F;F
male;group D;associate's degree;standard;none;0;40;52;43;0-59;0-59;0-59;F;F;F
female;group B;high school;standard;none;0;65;81;73;60-69;80-89;70-79;D;B;C
male;group A;some college;standard;completed;1;78;72;70;70-79;70-79;70-79;C;C;C
female;group A;master's degree;standard;none;0;50;53;58;0-59;0-59;0-59;F;F;F
female;group C;some high school;standard;none;0;69;75;78;60-69;70-79;70-79;D;C;C
male;group C;high school;standard;none;0;88;89;86;80-89;80-89;80-89;B;B;B
female;group B;some high school;free/reduced;none;0;18;32;28;0-59;0-59;0-59;F;F;F
male;group C;master's degree;free/reduced;completed;1;46;42;46;0-59;0-59;0-59;F;F;F
female;group C;associate's degree;free/reduced;none;0;54;58;61;0-59;0-59;60-69;F;F;D
male;group D;high school;standard;none;0;66;69;63;60-69;60-69;60-69;D;D;D
female;group B;some college;free/reduced;completed;1;65;75;70;60-69;70-79;70-79;D;C;C
male;group D;some college;standard;none;0;44;54;53;0-59;0-59;0-59;F;F;F
female;group C;some high school;standard;none;0;69;73;73;60-69;70-79;70-79;D;C;C
